ranking,"series name ",Year,certificate,runtime,genre,rating,DETAILS,ACTOR 1,ACTOR 2,ACTOR 3,ACTOR 4,VOTES
843,Good Behavior,(2016–2017),18,60 min,"Crime, Drama, Mystery",8,"Letty Raines is a thief and con artist whose life is always one wrong turn, one bad decision, from implosion. Which is just how she likes it.",Michelle Dockery,Juan Diego Botto,Terry Kinney,Lusia Strus,"10,663"
844,Counterpart,(2017–2019),15,60 min,"Drama, Sci-Fi, Thriller",8,"A hapless UN employee discovers that the agency he works for is hiding a gateway to a parallel dimension that's in a cold war with our own, and where his other self is a top spy. The war slowly heats up thanks to spies from both sides.",J.K. Simmons,Olivia Williams,Harry Lloyd,Nazanin Boniadi,"26,653"
845,Code Black,(2015–2018),,42 min,Drama,8,The staff of the LA County Hospital emergency room treat patients under difficult circumstances.,Marcia Gay Harden,Harry Ford,Benjamin Hollingsworth,Luis Guzmán,"11,876"
846,The Gilded Age,(2022– ),Not Rated,81 min,Drama,8,"A wide-eyed young scion of a conservative family embarks on a mission to infiltrate the wealthy neighboring clan dominated by ruthless railroad tycoon George Russell, his rakish son, Larry, and his ambitious wife, Bertha.",Ben Ahlers,Celia Keenan-Bolger,Debra Monk,Kelli O'Hara,"21,295"
847,Life in Pieces,(2015–2019),15,22 min,Comedy,8,A family comedy told through the separate stories of different family members.,Colin Hanks,Betsy Brandt,Thomas Sadoski,Zoe Lister-Jones,"15,080"
848,F Is for Family,(2015–2021),15,30 min,"Animation, Comedy, Drama",8,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",Bill Burr,Laura Dern,Justin Long,Debi Derryberry,"36,447"
849,Lovesick,(2014–2018),15,24 min,Comedy,8,"After finding out he has an STD, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news.",Johnny Flynn,Antonia Thomas,Daniel Ings,Joshua McGuire,"19,876"
850,No Offence,(I) (2015–2018),15,42 min,"Comedy, Crime, Drama",8,"Follows a group of police officers on the front line wondering what they did to end up where they are now, on the ugly side of Manchester.",Joanna Scanlan,Elaine Cassidy,Will Mellor,Paul Ritter,"5,376"
851,Assassination Classroom,(2013–2016),15,23 min,"Animation, Action, Comedy",,"A powerful creature claims that within a year, Earth will be destroyed by him, but he offers mankind a chance by becoming a homeroom teacher where he teaches his students about how to kill him. An assassination classroom begins.",Jun Fukuyama,Mai Fuchigami,Bryce Papenbrook,Vic Mignogna,"14,649"
852,Vice Principals,(2016–2018),15,30 min,Comedy,,"An overprotective father is obsessed with becoming a principal and competes against the popular vice principal. However, something happens that makes them work together to save the day.",Danny McBride,Walton Goggins,Sheaun McKinney,Georgia King,"26,155"
853,Fate/stay night: Unlimited Blade Works,(2014–2015),12,24 min,"Animation, Action, Adventure",,"A group of seven mages gets chosen to become masters of seven classes of heroic spirits, in order to fight and win the Holy Grail.",Noriaki Sugiyama,Kana Ueda,Bryce Papenbrook,Mela Lee,"7,705"
854,Ófærð,(2015– ),15,60 min,"Crime, Drama, Mystery",,"In a remote town in Iceland, Police desperately try to solve a crime as a powerful storm descends upon the town.",Ólafur Darri Ólafsson,Ilmur Kristjánsdóttir,Björn Hlynur Haraldsson,Guðjón Pedersen,"20,846"
855,Comedy Nights with Kapil,(2013–2016),13,60 min,"Comedy, Talk-Show",,Every episode starts with stage act of Kapil Sharma and various characters and then Kapil take one or more celebrity interview with co-actors.,Kapil Sharma,Kiku Sharda,Navjot Singh Sidhu,Ali Asgar,"5,515"
856,Ben de Özledim,(2013–2014),,75 min,"Comedy, Fantasy",,"Leyla and Mecnun series has been canceled, as the teams try to hold on to life.",Ali Atay,Serkan Keskin,Osman Sonant,Ahmet Mümtaz Taylan,"7,595"
857,Quarry,-2016,,60 min,"Crime, Drama, Thriller",,"Quarry, a disillusioned Vietnam War vet, returns home to Memphis in 1972 only to find rejection and scrutiny at every step. A mysterious man known only as The Broker gives him an offer he can't refuse - to work for him as a hitman.",Logan Marshall-Green,Jodi Balfour,Damon Herriman,Edoardo Ballerini,"13,028"
858,Star Wars: Rebels,(2014–2018),PG,22 min,"Animation, Action, Adventure",,A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,Dave Filoni,Taylor Gray,Freddie Prinze Jr.,Vanessa Marshall,"41,588"
859,Tokyo Vice,(2022– ),A,60 min,"Crime, Drama, Thriller",,A Western journalist working for a publication in Tokyo takes on one of the city's most powerful crime bosses.,Ansel Elgort,Ken Watanabe,Rachel Keller,Shô Kasamatsu,"19,259"
860,The Blacklist,(2013– ),15,43 min,"Crime, Drama, Mystery",,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",James Spader,Megan Boone,Diego Klattenhoff,Ryan Eggold,"241,378"
861,The Goldbergs,(2013– ),12,22 min,Comedy,,"This ABC show takes place in Jenkintown, Pennsylvania in the 1980s and follows the lives of a family named The Goldbergs.",Wendi McLendon-Covey,Sean Giambrone,Troy Gentile,Hayley Orrantia,"36,823"
862,My Teen Romantic Comedy SNAFU,(2013– ),12,24 min,"Animation, Comedy, Drama",,"About an antisocial high school student named Hikigaya Hachiman with a distorted view on life and no friends or girlfriend. His life change when he was forced to enter the ""Volunteer Service Club"" by his teacher.",Cat Thomas,Melissa Molano,Takuya Eguchi,Saori Hayami,"6,559"
863,Vicious,(2013–2016),12,23 min,Comedy,,Freddie Thornhill (Sir Ian McKellen) and Stuart Bixby (Sir Derek Jacobi) are an old gay couple who have been together for nearly fifty years. Their lives now revolve around entertaining their frequent guests and hurling insults at each other at every opportunity.,Derek Jacobi,Ian McKellen,Frances de la Tour,Iwan Rheon,"8,696"
864,Comedians in Cars Getting Coffee,(2012– ),12,20 min,"Comedy, Family, Talk-Show",,"Jerry Seinfeld is joined by friends for a cup of coffee and a drive in a classic car, sharing stories all along the way.",Jerry Seinfeld,Michael Richards,Mario Joyner,Jimmy Fallon,"12,485"
865,Chicago Fire,(2012– ),15,43 min,"Action, Drama",,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.",Taylor Kinney,Christian Stolte,Eamonn Walker,Joe Minoso,"55,608"
866,Marco Polo,(2014–2016),15,60 min,"Action, Adventure, Drama",,"In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia.",Lorenzo Richelmy,Benedict Wong,Joan Chen,Remy Hii,"71,700"
867,Feels Like Home,(2022– ),A,35 min,Comedy,,"Four boys, Avi, Lakshay, Sameer and Gandhi, struggle to make their first house a home. Along the way they discover true friendship, love, heartbreak, an iguana named Godzilla and what it means to feel like home.",Himika Bose,Prit Kamani,Mihir Ahuja,Anshuman Malhotra,"5,031"
868,Good Omens,(2019–2022),12,328 min,"Comedy, Fantasy",,"A tale of the bungling of Armageddon features an angel, a demon, an eleven-year-old Antichrist, and a doom-saying witch.",David Tennant,Michael Sheen,Frances McDormand,Sam Taylor Buck,"73,543"
869,American Horror Story,(2011– ),18,60 min,"Drama, Horror, Sci-Fi",,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley.",Lady Gaga,Kathy Bates,Angela Bassett,Sarah Paulson,"308,477"
870,Scott & Bailey,(2011–2016),15,45 min,"Crime, Drama, Mystery",,"Two female detectives, one motherly, the other emotionally immature, have varying levels of success applying their eccentric outlooks on life to their police cases and private lives.",Suranne Jones,Lesley Sharp,Tony Mooney,David Prosho,"8,885"
871,The Hour,(2011–2012),15,60 min,Drama,,"A behind-the-scenes drama and espionage thriller in Cold War-era England that centers on a journalist, a producer, and an anchorman for an investigative news programme.",Romola Garai,Ben Whishaw,Dominic West,Anna Chancellor,"10,308"
872,Green Lantern: The Animated Series,(2011–2013),PG,25 min,"Animation, Action, Adventure",,The further adventures of Hal Jordan and his comrades of the Green Lantern Corps.,Josh Keaton,Kevin Michael Richardson,Jason Spisak,Grey Griffin,"6,842"
873,Silk,(2011–2014),12,60 min,Drama,,"A six-part series about life at the Bar, the dilemmas and problems that modern day barristers have to face, and what it means to become a silk.",Maxine Peake,Rupert Penry-Jones,Neil Stuke,Theo Barklem-Biggs,"5,012"
874,The Trip,(2010–2020),15,172 min,Comedy,,Steve is asked to review restaurants for the UK's Observer who is joined on a working road trip by his friend Rob who fills in at the last minute when Coogan's romantic relationship falls apart.,Steve Coogan,Rob Brydon,Claire Keelan,Rebecca Johnson,"7,609"
875,Ugly Americans,(2010–2012),,30 min,"Animation, Comedy, Fantasy",,"Take New York City, add every horrifying beast, science-fiction freak, and fantasy faerie, shake thoroughly, and you've got Ugly Americans.",Matt Oberg,Natasha Leggero,Kurt Metzger,Randy Pearlstein,"10,257"
876,Raising Hope,(2010–2014),12,22 min,"Comedy, Family",,"Jimmy becomes a single parent to an infant after her mother, with whom he had a one-night stand, ends up on Death Row.",Lucas Neff,Martha Plimpton,Garret Dillahunt,Shannon Woodward,"37,455"
877,The Good Guys,-2010,,60 min,"Action, Comedy",,"Jack is a by-the-book detective whose habit of undermining himself has resulted in a dead-end position with the Police Dept. His partner Dan, a drunken, lecherous veteran hangs onto his job only because of one heroic act years ago.",Bradley Whitford,Colin Hanks,Jenny Wade,Diana Maria Riva,"7,346"
878,London Files,(2022– ),UA 16+,36 min,"Action, Crime, Drama",,An intense investigative thriller that follows homicide detective Om Singh as he reluctantly takes on a missing person's case in a politically divided and criminally rife London city.,Arjun Rampal,Purab Kohli,Medha Rana,Gopal Datt,"13,233"
879,Fairy Tail,(2009–2019),PG,24 min,"Animation, Action, Adventure",,"Lucy, an aspiring Celestial Wizard, becomes a friend and ally to powerful wizards Natsu, Gray, and Erza, who are part of the (in)famous wizard guild, Fairy Tail.",Cherami Leigh,Todd Haberkorn,Tia Lynn Ballard,Tetsuya Kakihara,"24,207"
880,Bakemonogatari,(2009–2010),15,360 min,"Animation, Action, Comedy",,"Third-year high school student Koyomi Araragi is human again. Cured of his vampirism, he seeks to help other supernaturals with their problems. Koyomi becomes involved in their lives, revealing secrets in people he once knew.",Hiroshi Kamiya,Eri Kitamura,Yuka Iguchi,Chiwa Saitô,"5,553"
881,Reservation Dogs,(2021– ),18,30 min,"Comedy, Crime",,Comedy series about four Native American teenagers growing up on a reservation in eastern Oklahoma.,Devery Jacobs,D'Pharaoh Woon-A-Tai,Lane Factor,Paulina Alexis,"11,133"
882,True Beauty,(2020–2021),15,70 min,"Comedy, Drama, Romance",,"After being bullied and discriminated because of her ugly looks, a high school girl transforms herself into a gorgeous ""goddess"" and quickly rises to fame after mastering the art of makeup via online tutorial videos.",Moon Ga-young,Cha Eun-Woo,Hwang In-Yeop,Yoo-na Park,"6,335"
883,The Umbrella Academy,(2019–2022),15,60 min,"Action, Adventure, Comedy",,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",Elliot Page,Tom Hopper,David Castañeda,Emmy Raver-Lampman,"214,467"
884,Toradora!,(2008–2009),12,24 min,"Animation, Comedy, Drama",,"Ryuji Takasu lives in a falling down house with his mother, and although being a nice guy is cursed with the evil look of his father causing people to avoid him. Taiga Aisaka is a tiny,self...                 »",Rie Kugimiya,Junji Majima,Yui Horie,Hirofumi Nojima,"14,745"
885,Paranormal,-2020,15,45 min,"Drama, Fantasy, Horror",,"Set in the 1960s, the series, packed with mystery and suspense, depicts the adventures of Doctor Refaat Ismail, a single hematologist who finds himself faced with a series of supernatural events.",Razane Jammal,Nick Shakoour,Karla Maatouk,Ahmed Amin,"71,699"
886,Undekhi,(2020– ),18,32 min,Crime,,"A dancer is killed in a fit of rage at the wedding of the scion of the Atwal family. A cop comes looking for the girl, while a film crew wants to expose the Atwals for their heinous crime. The Atwals will go to any lengths to remove pawns.",Harsh Chhaya,Dibyendu Bhattacharya,Surya Sharma,Ayn Zoya,"6,970"
887,Lie to Me,(2009–2011),15,43 min,"Crime, Drama, Mystery",,"About Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to expose the truth behind the lies.",Tim Roth,Kelli Williams,Brendan Hines,Monica Raymund,"118,595"
888,Squid Game,(2021– ),15,55 min,"Action, Drama, Mystery",,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.",Lee Jung-jae,Park Hae-soo,Hoyeon,Oh Yeong-su,"423,391"
889,"The Mind, Explained",(2019– ),12,20 min,Documentary,,"Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series.",Emma Stone,Julianne Moore,Faith Jones,Jewel Jordan,"5,300"
890,"Love, Victor",(2020–2022),14+,30 min,"Comedy, Drama, Romance",,"Victor is a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation.",Michael Cimino,Rachel Hilson,Anthony Turpel,Bebe Wood,"16,180"
891,United States of Tara,(2009–2011),,30 min,"Comedy, Drama, Romance",,A woman struggles to find a balance between her dissociative identity disorder and raising a dysfunctional family.,Toni Collette,John Corbett,Rosemarie DeWitt,Keir Gilchrist,"23,759"
892,Claymore,-2007,15,24 min,"Animation, Action, Adventure",,"In a world rife with deadly creatures called ""youma"", a young silver eyed woman, Clare, works on behalf of an organization that trains female youma halfbreeds into warriors with the ability...                 »",Todd Haberkorn,Stephanie Young,Houko Kuwashima,Cherami Leigh,"13,510"
893,Journeyman,-2007,,45 min,"Fantasy, Romance, Sci-Fi",,A man travels back in time to help people in trouble.,Kevin McKidd,Gretchen Egolf,Moon Bloodgood,Reed Diamond,"9,336"
894,The Tonight Show with Conan O'Brien,(2009–2010),,62 min,"Comedy, Music, Talk-Show",,"Opening monologues, sketches, celebrity interviews, and musical performances are commonly featured.",Conan O'Brien,The Tonight Show Band,Andy Richter,Jimmy Vivino,"8,618"
895,Phineas and Ferb,(2007–2015),U,15 min,"Animation, Short, Action",,"Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz.",Vincent Martella,Thomas Brodie-Sangster,Dan Povenmire,Ashley Tisdale,"44,365"
896,Burn Notice,(2007–2013),15,44 min,"Action, Crime, Drama",,A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.,Jeffrey Donovan,Gabrielle Anwar,Bruce Campbell,Sharon Gless,"73,670"
897,Wolverine and the X-Men,(2008–2009),PG,23 min,"Animation, Action, Adventure",,"After an explosion at the school, the X-Men went their separate ways. But they must unite once again under the leadership of Wolverine to prevent an inevitable war while also dealing with present problems.",Steve Blum,Jim Ward,Nolan North,Fred Tatasciore,"11,005"
898,That Mitchell and Webb Look,(2006–2010),15,720 min,"Comedy, Fantasy",,A comedy sketch show featuring David Mitchell and Robert Webb.,David Mitchell,Robert Webb,James Bachman,Mark Evans,"9,034"
899,Moral Orel,(2005–2009),15,11 min,"Animation, Comedy, Drama",,"A parody of past religious-geared animated shows starring Orel, an optimistic God-fearing young boy in a world of cynicism.",Carolyn Lawrence,Scott Adsit,Britta Phillips,Tigger Stamatopoulos,"6,066"
900,Sleeper Cell,(2005–2006),15,60 min,"Crime, Drama, Thriller",,An American undercover FBI agent is assigned to infiltrate a terrorist sleeper cell that is planning an attack in Los Angeles.,Michael Ealy,Oded Fehr,Henri Lubatti,Melissa Sagemiller,"6,312"
901,The Unit,(2006–2009),12,60 min,"Action, Drama, Thriller",8,Hour long show which looks at the life of American super-secret operators.,Dennis Haysbert,Regina Taylor,Audrey Marie Anderson,Robert Patrick,"21,781"
902,The Comeback,(2005–2014),12,30 min,Comedy,8,An ex A-list celebrity attempts to rekindle the flame of her once prominent acting career with nothing but a camera crew and some determination.,Lisa Kudrow,Lance Barber,Robert Michael Morris,Laura Silverman,"7,087"
903,Shameless,(2004–2013),18,90 min,"Comedy, Crime, Drama",8,The lives and relationships of a group of siblings and their estranged father Frank Gallagher on a rough Manchester estate.,David Threlfall,Rebecca Atkinson,Alice Barry,Nicky Evans,"16,689"
904,Shaman King,(2001–2005),PG,23 min,"Animation, Action, Adventure",8,"SHAMAN KING follows the adventures of a 13-year-old shaman and his teammate a samurai warrior spirit, who traverse the world fighting evil spirits and misguided shamans on their journey to be the next Shaman King.",Oliver Wyman,Andrew Rannells,Michael Sinterniklaas,Megumi Hayashibara,"5,901"
905,Monk,(2002–2009),PG,44 min,"Comedy, Crime, Drama",8,"The series follows Adrian Monk, a brilliant former San Francisco detective, who now consults the police as a private consultant who battles with an obsessive-compulsive disorder.",Tony Shalhoub,Jason Gray-Stanford,Ted Levine,Traylor Howard,"74,035"
906,Harvey Birdman Attorney at Law,(2000–2007),15,15 min,"Animation, Comedy, Sci-Fi",8,Third-rate superhero Harvey Birdman gets a new lease on life when he becomes a lawyer.,Gary Cole,Stephen Colbert,Thomas Allen,John Michael Higgins,"11,556"
907,Da Ali G Show,(2000–2004),15,30 min,"Comedy, Talk-Show",8,"Comedian Sacha Baron Cohen appears as Ali G, a rapper-wannabe from Staines. Ali G has his own TV show, where he interviews people on serious subjects. They're not aware that Ali G is just a...                 »",Sacha Baron Cohen,Steve Ellington,T.N.T. Crew,,"17,494"
908,Millennium,(I) (1996–1999),15,45 min,"Crime, Drama, Horror",8,"A former FBI profiler with the ability to look inside the mind of a killer begins working for the mysterious Millennium Group which investigates serial killers, conspiracies, the occult, and those obsessed with the end of the millennium.",Lance Henriksen,Megan Gallagher,Terry O'Quinn,Brittany Tiplady,"11,123"
909,NewsRadio,(1995–1999),12,23 min,"Comedy, Romance",8,"The workplace sitcom ""NewsRadio"" explores the office politics and interpersonal relationships among the staff of WNYX NewsRadio, New York's #2 news radio station.",David Foley,Stephen Root,Andy Dick,Maura Tierney,"15,470"
910,The Vicar of Dibley,(1994–2020),12,60 min,Comedy,8,A boisterous female minister comes to serve in an eccentricly conservative small town's church.,Dawn French,James Fleet,Trevor Peacock,Gary Waldhorn,"13,814"
911,Due South,(1994–1999),PG,46 min,"Adventure, Comedy, Crime",8,The adventures of an impossibly upright Royal Canadian Mounted Police constable and his American colleagues in the city of Chicago.,Paul Gross,Beau Starr,Tony Craig,David Marciano,"6,818"
912,Tales from the Crypt,(1989–1996),18,25 min,"Comedy, Crime, Fantasy",8,"Tales of horror based on the gruesome E.C. comic books of the 1950s presented by the legendary Crypt Keeper, a sinister ghoul obsessed with gallows humor and horrific puns.",John Kassir,Roy Brocksmith,Miguel Ferrer,Cam Clarke,"24,175"
913,Transformers,(1984–1987),U,30 min,"Animation, Action, Adventure",8,Two opposing factions of transforming alien robots engage in a battle that has the fate of Earth in the balance.,Frank Welker,Peter Cullen,Corey Burton,Christopher Collins,"21,878"
914,Dungeons & Dragons,(1983–1985),PG,30 min,"Animation, Action, Adventure",8,"A group of kids are thrown into a fantasy world where they must search for a way home, armed with magic weapons that an evil tyrant wants.",Katie Leigh,Frank Welker,Willie Aames,Don Most,"5,127"
915,Blackadder,(1982–1983),15,195 min,Comedy,8,"In the Middle Ages, Prince Edmund the Black Adder constantly schemes and endeavors to seize the crown from his father and brother.",Rowan Atkinson,Brian Blessed,Elspet Gray,Tim McInnerny,"38,112"
916,The Hitchhiker's Guide to the Galaxy,-1981,PG,152 min,"Adventure, Comedy, Sci-Fi",8,"Arthur Dent and his friend Ford Prefect escape the destruction of Earth only to face incredible trials, tribulations and adventures in space and time.",Simon Jones,David Dixon,Peter Jones,Sandra Dickinson,"10,998"
917,WKRp in Cincinnati,(1978–1982),,30 min,Comedy,8,"The misadventures of the staff of a struggling Top 40 rock radio station in Cincinnati, Ohio.",Gary Sandy,Gordon Jump,Loni Anderson,Howard Hesseman,"9,777"
918,Saturday Night Live,(1975– ),12,90 min,"Comedy, Music",8,A famous guest host stars in parodies and sketches created by the cast of this witty show.,The Saturday Night Live Band,Don Pardo,Darrell Hammond,Lenny Pickett,"48,206"
919,Are You Being Served?,(1972–1985),PG,28 min,Comedy,8,The misadventures of the staff of a retail floor of a major department store.,Mollie Sugden,John Inman,Frank Thornton,Wendy Richard,"8,258"
920,The Persuaders!,(1971–1972),PG,60 min,"Action, Adventure, Comedy",8,"Two worlds collide when titled Englishman Lord Brett Sinclair and Bronx-raised, self-made American Danny Wilde reluctantly join forces to right wrongs and protect the innocent.",Tony Curtis,Roger Moore,Laurence Naismith,Juliet Harmer,"5,308"
921,The Addams Family,(1964–1966),PG,30 min,"Comedy, Family, Horror",8,The misadventures of a blissfully macabre but extremely loving family.,John Astin,Carolyn Jones,Jackie Coogan,Ted Cassidy,"17,301"
922,Gunsmoke,(1955–1975),PG,60 min,Western,8,Marshal Matt Dillon keeps the peace in rough-and-tumble Dodge City.,James Arness,Milburn Stone,Amanda Blake,Ken Curtis,"6,996"
923,How to Sell Drugs Online (Fast),(2019– ),15,30 min,"Comedy, Crime, Drama",7.9,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.",Maximilian Mundt,Danilo Kamperidis,Lena Klenke,Damian Hardung,"31,226"
924,Modern Love,(2019– ),15,32 min,"Comedy, Romance",7.9,"TV series based on the New York Times' column that explores relationships, love and the human connection.",Anne Hathaway,Tina Fey,Andy Garcia,Dev Patel,"31,647"
925,Pennyworth,(2019– ),18,60 min,"Action, Crime, Drama",7.9,"The origin story of Alfred Pennyworth, a former special-forces soldier living in London and how he came to work for Bruce Wayne's father.",Jack Bannon,Ben Aldridge,Emma Paetz,Ryan Fletcher,"13,547"
926,On My Block,(2018–2021),15,30 min,"Comedy, Drama",7.9,"A coming-of-age story about four bright, street-savvy friends navigating their way through high school in the gritty South Central Los Angeles, trying to get their friend out of a gang, and having friendship turn into something more.",Sierra Capri,Jason Genao,Brett Gray,Diego Tinoco,"15,920"
927,My Next Guest Needs No Introduction with David Letterman,(2018– ),15,60 min,Talk-Show,7.9,Comedian David Letterman interviews people he finds fascinating.,David Letterman,Kim Kardashian,George Clooney,Tina Fey,"5,551"
928,Upload,(2020– ),15,30 min,"Comedy, Mystery, Sci-Fi",7.9,"A man is able to choose his own afterlife after his untimely death, by having his consciousness uploaded into a virtual world. As he gets used to his new life and befriends his angel (real world handler), questions about his death arise.",Robbie Amell,Andy Allo,Allegra Edwards,Zainab Johnson,"64,409"
929,For All Mankind,(2019– ),Caution,60 min,"Drama, Sci-Fi",7.9,"In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.",Joel Kinnaman,Michael Dorman,Wrenn Schmidt,Shantel VanSanten,"33,256"
930,Price of Passion,(2017–2018),,140 min,"Action, Drama, Romance",7.9,A doctor who has devoted herself to healing others encounters a cold-blooded killer with a wounded past. What happens when the woman who saves lives is captured by the man who takes them?,Ibrahim Celikkol,Birce Akalay,Muhammet Uzuner,Cahit Gök,"6,475"
931,Suburra: Blood on Rome,(2017–2020),15,50 min,"Action, Crime",7.9,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.",Alessandro Borghi,Giacomo Ferrara,Filippo Nigro,Carlotta Antonelli,"14,466"
932,Carmen Sandiego,(2019–2021),PG,22 min,"Animation, Action, Adventure",7.9,"The adventures of Carmen Sandiego, a globe-hopping master thief.",Finn Wolfhard,Gina Rodriguez,Liam O'Brien,Abby Trott,"5,691"
933,Big Mouth,(2017– ),18,30 min,"Animation, Comedy, Romance",7.9,Teenage friends find their lives upended by the wonders and horrors of puberty.,Nick Kroll,John Mulaney,Jessi Klein,Jason Mantzoukas,"75,557"
934,The Sinner,(2017–2021),15,45 min,"Crime, Drama, Mystery",7.9,Anthology series that examines how and why ordinary people commit brutal crimes.,Bill Pullman,Jessica Hecht,Dohn Norwood,Adam LeFevre,"118,154"
935,I'm Sorry,(2017–2020),,30 min,Comedy,7.9,"A seemingly-confident comedy writer, wife and mom comically exposes her inner immaturity and neuroses through unexpected life situations.",Andrea Savage,Tom Everett Scott,Olive Petrucci,Kathy Baker,"5,538"
936,Trial & Error,(2017–2018),,22 min,"Comedy, Crime, Mystery",7.9,"A spoof of crime documentaries about the arrest and trial of a beloved poetry professor from a small town in South Carolina, who is accused of brutally murdering his wife, and the young Northeastern lawyer hired to defend him.",Nicholas D'Agosto,Jayma Mays,Steven Boyer,Sherri Shepherd,"5,965"
937,The Exorcist,(2016–2018),18+,45 min,"Drama, Horror, Mystery",7.9,Follows three priests dealing with cases of a demonic presence targeting a family and a foster home.,Alfonso Herrera,Ben Daniels,Kurt Egyiawan,Hannah Kasulka,"28,330"
938,Medici,(2016–2019),15,60 min,"Biography, Drama, History",7.9,"A political family drama set in Florence in the early fifteenth century. Cosimo de Medici finds himself at the helm of his banking dynasty when his father, Giovanni, dies suddenly.",Daniel Sharman,Alessandra Mastronardi,Synnove Karlsen,Sebastian De Souza,"18,781"
939,Preacher,(2016–2019),18,60 min,"Adventure, Drama, Fantasy",7.9,"After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God.",Dominic Cooper,Joe Gilgun,Ruth Negga,Ian Colletti,"73,891"
940,We Bare Bears,(2014–2019),U,30 min,"Animation, Adventure, Comedy",7.9,Three bear brothers do whatever they can to be a part of human society by doing what everyone around them does.,Eric Edelstein,Demetri Martin,Bobby Moynihan,Keith Ferguson,"15,240"
941,Dirilis: Ertugrul,(2014–2019),G,120 min,"Action, Adventure, Drama",7.9,"The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.",Engin Altan Düzyatan,Hülya Darcan,Cengiz Coskun,Nurettin Sönmez,"35,944"
942,Strike,(2017– ),15,60 min,"Crime, Drama, Mystery",7.9,War veteran turned private detective Cormoran Strike solves brutal murders with the help of his trusted assistant Robin Ellacott.,Tom Burke,Holliday Grainger,Kerr Logan,Killian Scott,"14,338"
943,Humans,(2015–2018),12,42 min,"Drama, Sci-Fi",7.9,In a parallel present where the latest must-have gadget for any busy family is a 'Synth' - a highly-developed robotic servant that's so similar to a real human - is transforming the way we live.,Katherine Parkinson,Gemma Chan,Lucy Carless,Tom Goodman-Hill,"39,598"
944,Red Oaks,(2014–2017),15,30 min,"Comedy, Drama, Sport",7.9,"A coming-of-age comedy set in the ""go-go"" 80s about a college student enjoying a last hurrah before summer comes to an end--and the future begins.",Craig Roberts,Ennis Esmer,Oliver Cooper,Richard Kind,"11,615"
945,The Seven Deadly Sins,(2014–2021),12,24 min,"Animation, Action, Adventure",7.9,"The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didn't commit and went on a quest to vindicate themselves.",Bryce Papenbrook,Erika Harlacher,Max Mittelman,Cristina Valenzuela,"30,813"
946,Into the Badlands,(2015–2019),15,42 min,"Action, Adventure, Drama",7.9,A mighty warrior and a young boy with supernatural powers search for enlightenment in a ruthless post-apocalyptic America controlled by feudal barons.,Daniel Wu,Orla Brady,Emily Beecham,Aramis Knight,"45,943"
947,Versailles,(2015–2018),15,52 min,"Biography, Drama, History",7.9,"In 1667, 28-year-old all-powerful king of France, Louis XIV, decides to build the greatest palace in the world - Versailles. But drained budget, affairs and political intrigues complicate things.",George Blagden,Alexander Vlahos,Tygh Runyan,Stuart Bowman,"16,422"
948,Grantchester,(2014– ),15,45 min,"Crime, Drama, Mystery",7.9,A Cambridgeshire clergyman finds himself investigating a series of mysterious wrongdoings in his small village of Grantchester.,Robson Green,Tessa Peake-Jones,Al Weaver,Kacey Ainsworth,"13,652"
949,Red Band Society,(2014–2015),,43 min,"Comedy, Drama",7.9,"A group of teenagers live together as patients at a hospital's pediatric ward and learn how to deal with their illnesses, the experiences that they have, and the people that they meet.",Octavia Spencer,Dave Annable,Astro,Ciara Bravo,"9,908"
